step,layer,ratio,lr,loss
10,token_emb.weight,2.05975216e-04,6.00000000e-04,5.697300
10,pos_emb.weight,2.11259165e-04,6.00000000e-04,5.697300
10,blocks.0.ln1.weight,1.97795604e-04,6.00000000e-04,5.697300
10,blocks.0.ln1.bias,1.73188009e-01,6.00000000e-04,5.697300
10,blocks.0.attn.in_proj_weight,2.31662904e-03,6.00000000e-04,5.697300
10,blocks.0.attn.in_proj_bias,1.76932797e-01,6.00000000e-04,5.697300
10,blocks.0.attn.out_proj.weight,2.82840011e-03,6.00000000e-04,5.697300
10,blocks.0.attn.out_proj.bias,1.77837724e-01,6.00000000e-04,5.697300
10,blocks.0.ln2.weight,1.95055665e-04,6.00000000e-04,5.697300
10,blocks.0.ln2.bias,1.85669857e-01,6.00000000e-04,5.697300
10,blocks.0.mlp.0.weight,2.75070823e-03,6.00000000e-04,5.697300
10,blocks.0.mlp.0.bias,2.72803967e-03,6.00000000e-04,5.697300
10,blocks.0.mlp.2.weight,5.57911026e-03,6.00000000e-04,5.697300
10,blocks.0.mlp.2.bias,5.82176550e-03,6.00000000e-04,5.697300
10,blocks.1.ln1.weight,2.30575417e-04,6.00000000e-04,5.697300
10,blocks.1.ln1.bias,1.63207452e-01,6.00000000e-04,5.697300
10,blocks.1.attn.in_proj_weight,2.25683309e-03,6.00000000e-04,5.697300
10,blocks.1.attn.in_proj_bias,1.75160333e-01,6.00000000e-04,5.697300
10,blocks.1.attn.out_proj.weight,2.82407275e-03,6.00000000e-04,5.697300
10,blocks.1.attn.out_proj.bias,1.75620361e-01,6.00000000e-04,5.697300
10,blocks.1.ln2.weight,1.92801547e-04,6.00000000e-04,5.697300
10,blocks.1.ln2.bias,2.01269155e-01,6.00000000e-04,5.697300
10,blocks.1.mlp.0.weight,2.76044733e-03,6.00000000e-04,5.697300
10,blocks.1.mlp.0.bias,2.75988662e-03,6.00000000e-04,5.697300
10,blocks.1.mlp.2.weight,5.55789335e-03,6.00000000e-04,5.697300
10,blocks.1.mlp.2.bias,5.12897358e-03,6.00000000e-04,5.697300
10,ln_f.weight,5.25925050e-04,6.00000000e-04,5.697300
10,ln_f.bias,1.77803607e-01,6.00000000e-04,5.697300
10,lm_head.weight,2.84481063e-03,6.00000000e-04,5.697300
11,token_emb.weight,2.19518772e-04,6.60000000e-04,5.669858
11,pos_emb.weight,2.24381154e-04,6.60000000e-04,5.669858
11,blocks.0.ln1.weight,1.98291694e-04,6.60000000e-04,5.669858
11,blocks.0.ln1.bias,1.63347625e-01,6.60000000e-04,5.669858
11,blocks.0.attn.in_proj_weight,2.44575579e-03,6.60000000e-04,5.669858
11,blocks.0.attn.in_proj_bias,1.54766150e-01,6.60000000e-04,5.669858
11,blocks.0.attn.out_proj.weight,3.01334184e-03,6.60000000e-04,5.669858
11,blocks.0.attn.out_proj.bias,1.67804257e-01,6.60000000e-04,5.669858
11,blocks.0.ln2.weight,2.06123947e-04,6.60000000e-04,5.669858
11,blocks.0.ln2.bias,1.77680134e-01,6.60000000e-04,5.669858
11,blocks.0.mlp.0.weight,2.93050147e-03,6.60000000e-04,5.669858
11,blocks.0.mlp.0.bias,2.84355182e-03,6.60000000e-04,5.669858
11,blocks.0.mlp.2.weight,5.91675921e-03,6.60000000e-04,5.669858
11,blocks.0.mlp.2.bias,6.23807740e-03,6.60000000e-04,5.669858
